# Eye Tracking Keypress Labels
# Recording started: 2025-11-03 13:28:37.803
# Sampling rate: 1000 Hz (1 sample per millisecond)
# Columns: sample_number, timestamp_ms, elapsed_ms, label
# Labels: stare, left, up, down, right, unknown, blink
# Press ESC to stop recording
# EndOfHeader
0	1762205317804.993	0.000	stare
1	1762205317806.065	1.072	stare
2	1762205317807.102	2.109	stare
3	1762205317808.006	3.013	stare
4	1762205317809.049	4.056	stare
5	1762205317810.022	5.029	stare
6	1762205317810.997	6.004	stare
7	1762205317812.039	7.046	stare
8	1762205317813.072	8.079	stare
9	1762205317814.104	9.111	stare
10	1762205317815.021	10.028	stare
11	1762205317816.056	11.063	stare
12	1762205317817.005	12.012	stare
13	1762205317818.050	13.057	stare
14	1762205317819.099	14.106	stare
15	1762205317820.022	15.029	stare
16	1762205317821.082	16.089	stare
17	1762205317822.001	17.008	stare
18	1762205317823.050	18.057	stare
19	1762205317824.096	19.103	stare
20	1762205317825.011	20.018	stare
21	1762205317826.061	21.068	stare
22	1762205317827.113	22.120	stare
23	1762205317828.035	23.042	stare
24	1762205317829.081	24.088	stare
25	1762205317829.999	25.006	stare
26	1762205317831.050	26.057	stare
27	1762205317832.099	27.106	stare
28	1762205317833.011	28.018	stare
29	1762205317834.061	29.068	stare
30	1762205317835.115	30.122	stare
31	1762205317836.032	31.039	stare
32	1762205317837.083	32.090	stare
33	1762205317838.002	33.009	stare
34	1762205317839.048	34.055	stare
35	1762205317840.101	35.108	stare
36	1762205317841.022	36.029	stare
37	1762205317842.072	37.079	stare
38	1762205317843.120	38.127	stare
39	1762205317844.042	39.049	stare
40	1762205317845.092	40.099	stare
41	1762205317846.010	41.017	stare
42	1762205317847.061	42.068	stare
43	1762205317848.115	43.122	stare
44	1762205317849.019	44.026	stare
45	1762205317850.068	45.075	stare
46	1762205317851.114	46.121	stare
47	1762205317852.033	47.040	stare
48	1762205317853.085	48.092	stare
49	1762205317853.995	49.002	stare
50	1762205317855.044	50.051	stare
51	1762205317856.089	51.096	stare
52	1762205317856.999	52.006	stare
53	1762205317858.015	53.022	stare
54	1762205317859.054	54.061	stare
55	1762205317860.091	55.098	stare
56	1762205317861.010	56.017	stare
57	1762205317862.051	57.058	stare
58	1762205317863.087	58.094	stare
59	1762205317863.997	59.004	stare
60	1762205317865.042	60.049	stare
61	1762205317866.087	61.094	stare
62	1762205317866.998	62.005	stare
63	1762205317868.050	63.057	stare
64	1762205317869.084	64.091	stare
