# Eye Tracking Keypress Labels
# Recording started: 2025-11-03 13:31:29.791
# Sampling rate: 1000 Hz (1 sample per millisecond)
# Columns: sample_number, timestamp_ms, elapsed_ms, label
# Labels: stare, left, up, down, right, unknown, blink
# Press ESC to stop recording
# EndOfHeader
0	1762205489792.894	0.000	stare
1	1762205489793.958	1.064	stare
2	1762205489794.995	2.101	stare
3	1762205489795.899	3.005	stare
4	1762205489796.931	4.037	stare
5	1762205489797.987	5.093	stare
6	1762205489798.956	6.062	stare
7	1762205489799.920	7.026	stare
8	1762205489801.001	8.107	stare
9	1762205489801.929	9.035	stare
10	1762205489802.973	10.079	stare
11	1762205489804.015	11.121	stare
12	1762205489804.922	12.028	stare
13	1762205489805.967	13.073	stare
14	1762205489807.042	14.148	stare
15	1762205489807.987	15.093	stare
16	1762205489808.929	16.035	stare
17	1762205489809.968	17.074	stare
18	1762205489811.016	18.122	stare
19	1762205489811.933	19.039	stare
20	1762205489812.982	20.088	stare
21	1762205489813.909	21.015	stare
22	1762205489814.949	22.055	stare
23	1762205489815.905	23.011	stare
24	1762205489816.947	24.053	stare
25	1762205489818.005	25.111	stare
26	1762205489818.923	26.029	stare
27	1762205489819.970	27.076	stare
28	1762205489820.893	27.999	stare
29	1762205489821.941	29.047	stare
30	1762205489822.989	30.095	stare
31	1762205489823.906	31.012	stare
32	1762205489824.953	32.059	stare
33	1762205489826.000	33.106	stare
34	1762205489826.917	34.023	stare
35	1762205489827.964	35.070	stare
36	1762205489829.014	36.120	stare
37	1762205489829.930	37.036	stare
38	1762205489830.983	38.089	stare
39	1762205489831.893	38.999	stare
40	1762205489832.944	40.050	stare
41	1762205489833.990	41.096	stare
42	1762205489834.918	42.024	stare
43	1762205489835.972	43.078	stare
44	1762205489837.007	44.113	stare
45	1762205489837.937	45.043	stare
46	1762205489838.977	46.083	stare
47	1762205489839.901	47.007	stare
48	1762205489840.953	48.059	stare
49	1762205489842.000	49.106	stare
50	1762205489842.900	50.006	stare
51	1762205489843.938	51.044	stare
52	1762205489845.389	52.495	stare
